Email,Password,Client Type,Validation Status
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
test@example.com,aA1!,Visitor,Validated
